government-domain,org_original.x,org_original.y,curie,score
eastlothian.gov.uk,"East Lothian Council","The East Lothian Council",local-authority-sct:ELN,0.16388888888888875
falkirk-council.gov.uk,"Falkirk Council","The Falkirk Council",local-authority-sct:FAL,0.15906432748538024
fifefire.gov.uk,"Fife Council","The Fife Council",local-authority-sct:FIF,0.13888888888888884
havering.gov.uk,"The London Borough of Havering","London Borough of Havering",local-authority-eng:HAV,0.15083199141170167
highways.gov.uk,"The Highways Agency","Highways Agency",government-organisation:EA77,0.15906432748538024
homesengland.gov.uk,"Homes and Communities Agency (HCA)","Homes and Communities Agency",government-organisation:PB161,0.04761904761904767
inverclyde.gov.uk,"Inverclyde Council","The Inverclyde Council",local-authority-sct:IVC,0.1624579124579124
lhc.gov.uk,"Housing Coporation","Housing Corporation",government-organisation:EA835,0.04532163742690076
middlesbrough.gov.uk,"Middlesbrough Council","Middlesbrough Borough Council",local-authority-eng:MDB,0.11576354679802969
midlothian.gov.uk,"Midlothian Council","The Midlothian Council",local-authority-sct:MLN,0.1624579124579124
newcastle.gov.uk,"Newcastle upon Tyne City Council","Newcastle City Council",local-authority-eng:NET,0.17234848484848486
newforestnpa.gov.uk,"New Forest National Park Agency","New Forest National Park Authority",government-organisation:OT222,0.11163820366856425
north-ayrshire.gov.uk,"North Ayrshire Council","The North Ayrshire Council",local-authority-sct:NAY,0.16491841491841486
northdevon.gov.uk,"North Devon Council","North Devon District Council",local-authority-eng:NDE,0.15977443609022557
northlanarkshire.gov.uk,"North Lanarkshire Council","The North Lanarkshire Council",local-authority-sct:NLK,0.15931034482758633
northsomerset.gov.uk,"North Somerset Council","North Somerset  Council",local-authority-eng:NSM,0.01449275362318847
number10.gov.uk,"Prime Minister's Office","Prime Minister's Office, 10 Downing Street",government-organisation:OT532,0.15000000000000013
paroleboard.gov.uk,"Parole Board for England and Wales","Parole Board",government-organisation:PB301,0.17948717948717952
rbkc.gov.uk,"The Royal Borough of Kensington and Chelsea","Royal Borough of Kensington and Chelsea",local-authority-eng:KEC,0.1932870370370371
renfrewshire.gov.uk,"Renfrewshire Council","The Renfrewshire Council",local-authority-sct:RFW,0.15555555555555567
ribblevalley.gov.uk,"Ribblevalley Borough Council","Ribble Valley Borough Council",local-authority-eng:RIB,0.09482758620689657
southlanarkshire.gov.uk,"South Lanarkshire Council","The South Lanarkshire Council",local-authority-sct:SLK,0.15931034482758633
sstaffs.gov.uk,"South Staffordshire District Council","South Staffordshire Council",local-authority-eng:SST,0.12037037037037046
stirling.gov.uk,"Stirling Council","The Stirling Council",local-authority-sct:STG,0.16041666666666676
tsb.gov.uk,"The Technology Strategy Board","Technology Strategy Board",government-organisation:PB136,0.16597701149425292
walesoffice.gov.uk,"Wales Office","Welsh Office",government-organisation:OT590,0.08585858585858597
westlothian.gov.uk,"West Lothian Council","The West Lothian Council",local-authority-sct:WLN,0.16388888888888875
wiltshire.gov.uk,"The Wiltshire Council","Wiltshire Council",local-authority-eng:WIL,0.1615312791783381
