government-domain,org_original.x,org_original.y,curie,score
cookstown.gov.uk,Cookstown District Council,Cotswold District Council,local-authority-eng:COT,0.10136008918617623
llwybrarfordircymru.gov.uk,Countryside Council for Wales,Countryside Agency,government-organisation:EA729,0.19870370370370372
westmidlandsca.gov.uk,Wolverhampton City Council,Coventry City Council,local-authority-eng:COV,0.17412120043698998
landlordregistrationscotland.gov.uk,Registers of Scotland,Creative Scotland,government-organisation:OT964,0.1924214130096482
bridgnorthtowncouncil.gov.uk,Bridgnorth Town Council,Darlington Borough Council,local-authority-eng:DAL,0.1962626745235443
foweytowncouncil.gov.uk,Restormel Borough Council,Dartford Borough Council,local-authority-eng:DAR,0.12222222222222223
daventrytowncouncil.gov.uk,Daventry Town Council,Daventry District Council,local-authority-eng:DAV,0.19650793650793652
appealserviceni.gov.uk,Department for Communities,Department for Communities (Northern Ireland),government-organisation:OT1173,0.14529914529914545
delni.gov.uk,Department for the Economy,Department for Education,government-organisation:D6,0.13888888888888884
aasb-ni.gov.uk,Department of Finance,Department for Education,government-organisation:D6,0.14537037037037037
drdni.gov.uk,Department for Infrastructure,Department for Infrastructure (Northern Ireland),government-organisation:OT1176,0.13492063492063489
afbini.gov.uk,"Department of Agriculture, Environment and Rural Affairs","Department of Agriculture, Environment and Rural Affairs (Northern Ireland)",government-organisation:OT1178,0.0871794871794872
doeni.gov.uk,Department of the Environment,Department of the Environment (Northern Ireland),government-organisation:D591,0.14529914529914545
denbighshire.gov.uk,Denbighshire County Council,Derbyshire County Council,local-authority-eng:DBY,0.19199141170155654
kerrycommunitycouncil.gov.uk,Kerry Community Council,Derbyshire County Council,local-authority-eng:DBY,0.1768115942028986
derbyshirealc.gov.uk,Derbyshire Association of Local Councils,Derbyshire Dales District Council,local-authority-eng:DEB,0.19706232206232221
camden.gov.uk,Camden Council,Design Council,government-organisation:OT893,0.14285714285714302
denbyparishcouncil.gov.uk,Denby Parish Council,Design Council,government-organisation:OT893,0.19175824175824174
ealing.gov.uk,Ealing Council,Design Council,government-organisation:OT893,0.12301587301587302
clevedon.gov.uk,Clevedon Town Council,Devon County Council,local-authority-eng:DEV,0.18280423280423275
dorchester-tc.gov.uk,Dorchester Town Council,Dorset County Council,local-authority-eng:DOR,0.17743634448439938
dursleytowncouncil.gov.uk,Dursley Town Council,Dorset County Council,local-authority-eng:DOR,0.17354497354497356
powys.gov.uk,Powys County Council,Dorset County Council,local-authority-eng:DOR,0.142903828197946
stroudtown.gov.uk,Stroud Town Council,Dorset County Council,local-authority-eng:DOR,0.19479253689780007
enfield.gov.uk,Enfield London Borough Council,Dudley Metropolitan Borough Council,local-authority-eng:DUD,0.19594356261022927
eastherts.gov.uk,East Herts District Council,East Dorset District Council,local-authority-eng:EDO,0.06820648487315162
stapeleyparishcouncil.gov.uk,Stapeley and District Parish Council,East Hampshire District Council,local-authority-eng:EHA,0.1619507786429366
aberford-pc.gov.uk,Aberford & District Parish Council,East Hertfordshire District Council,local-authority-eng:EHE,0.19758825944170766
eastington-pc.gov.uk,Eastington Parish Council,East Northamptonshire Council,local-authority-eng:ENO,0.18258870564717655
horsmonden-pc.gov.uk,Horsmonden Parish Council,East Northamptonshire Council,local-authority-eng:ENO,0.17497126436781618
longstratton-pc.gov.uk,Long Stratton Parish Council,East Northamptonshire Council,local-authority-eng:ENO,0.1883579638752052
suttoncourtenay-pc.gov.uk,Sutton Courtenay Parish Council,East Northamptonshire Council,local-authority-eng:ENO,0.18440004563475076
KnaresboroughTownCouncil.gov.uk,Knaresborough Town Council,Eastbourne Borough Council,local-authority-eng:EAS,0.18561872909699006
anston.gov.uk,Anston Parish Council,English Sports Council,government-organisation:OT886,0.1822991822991823
baldertonparishcouncil.gov.uk,Balderton Parish Council,English Sports Council,government-organisation:OT886,0.1938463583200426
barlestoneparishcouncil.gov.uk,Barlestone Parish Council,English Sports Council,government-organisation:OT886,0.1886363636363637
beltonparishcouncil.gov.uk,Belton Parish Council,English Sports Council,government-organisation:OT886,0.16491987544619124
bransgore-parish.gov.uk,Bransgore Parish Council,English Sports Council,government-organisation:OT886,0.1938463583200426
bursledon-pc.gov.uk,Bursledon Parish Council,English Sports Council,government-organisation:OT886,0.1938463583200426
diss.gov.uk,Diss Town Council,English Sports Council,government-organisation:OT886,0.18972073677956036
duston-pc.gov.uk,Duston Parish Council,English Sports Council,government-organisation:OT886,0.1915584415584417
essingtonparishcouncil.gov.uk,Essington Parish Council,English Sports Council,government-organisation:OT886,0.19967532467532467
falstoneparishcouncil.gov.uk,Falstone Parish Council,English Sports Council,government-organisation:OT886,0.16544795783926225
godstone-pc.gov.uk,Godstone Parish Council,English Sports Council,government-organisation:OT886,0.16544795783926225
hackletonparishcouncil.gov.uk,Hackleton Parish Council,English Sports Council,government-organisation:OT886,0.1938463583200426
hellesdon-pc.gov.uk,Hellesdon Parish Council,English Sports Council,government-organisation:OT886,0.1938463583200426
holtparishcouncil.gov.uk,Holt Parish Council,English Sports Council,government-organisation:OT886,0.17947274603621366
lissparishcouncil.gov.uk,Liss Parish Council,English Sports Council,government-organisation:OT886,0.18927666760484108
loose-pc.gov.uk,Loose Parish Council,English Sports Council,government-organisation:OT886,0.18653198653198655
melton-suffolk-pc.gov.uk,Melton Parish Council,English Sports Council,government-organisation:OT886,0.16491987544619124
overtonparishcouncil.gov.uk,Overton Parish Council,English Sports Council,government-organisation:OT886,0.19528619528619529
peltonparishcouncil.gov.uk,Pelton Parish Council,English Sports Council,government-organisation:OT886,0.15614794562162992
pkc.gov.uk,Perth & Kinross Council,English Sports Council,government-organisation:OT886,0.14737601579706838
repton-pc.gov.uk,Repton Parish Council,English Sports Council,government-organisation:OT886,0.1822991822991823
ripleytowncouncil.gov.uk,Ripley Town Council,English Sports Council,government-organisation:OT886,0.19562400318979267
selborneparishcouncil.gov.uk,Selborne Parish Council,English Sports Council,government-organisation:OT886,0.18237292836835173
silkstoneparishcouncil.gov.uk,Silkstone Parish Council,English Sports Council,government-organisation:OT886,0.19173881673881676
skelton-york.gov.uk,Skelton Parish Council,English Sports Council,government-organisation:OT886,0.14393939393939392
tarleton-pc.gov.uk,Tarleton Parish Council,English Sports Council,government-organisation:OT886,0.18237292836835173
welton-by-lincoln-pc.gov.uk,Welton Parish Council,English Sports Council,government-organisation:OT886,0.16491987544619124
yealmpton-pc.gov.uk,Yealmpton Parish Council,English Sports Council,government-organisation:OT886,0.1938463583200426
belfastcity.gov.uk,Belfast City Council,Exeter City Council,local-authority-eng:EXE,0.15350877192982448
truro-city.gov.uk,Truro City Council,Exeter City Council,local-authority-eng:EXE,0.1257309941520468
northwalesadoption.gov.uk,Wrexham County Borough Council,Great Yarmouth Borough Council,local-authority-eng:GRY,0.1658119658119659
marlborough-tc.gov.uk,Marlborough Town Council,Halton Borough Council,local-authority-eng:HAL,0.1441197691197691
aberporthcommunitycouncil.gov.uk,Aberporth Community Council,Hampshire County Council,local-authority-eng:HAM,0.18799102132435475
alconburyparishcouncil.gov.uk,Alconbury Parish Council,Hampshire County Council,local-authority-eng:HAM,0.19444444444444442
cambourneparishcouncil.gov.uk,Cambourne Parish Council,Hampshire County Council,local-authority-eng:HAM,0.1706349206349207
chesham.gov.uk,Chesham Town Council,Hampshire County Council,local-authority-eng:HAM,0.19137426900584797
hopecommunitycouncil.gov.uk,Hope Community Council,Hampshire County Council,local-authority-eng:HAM,0.1525252525252525
huncote-pc.gov.uk,Huncote Parish Council,Hampshire County Council,local-authority-eng:HAM,0.1262626262626263
rodborough.gov.uk,Rodborough Parish Council,Harborough District Council,local-authority-eng:HAO,0.19199141170155654
aldwickparishcouncil.gov.uk,Aldwick Parish Council,Harlow District Council,local-authority-eng:HAR,0.19788464353681756
harlington-pc.gov.uk,Harlington Parish Council,Harlow District Council,local-authority-eng:HAR,0.19937452326468352
rotherham.gov.uk,Rotherham Borough Council,Harrogate Borough Council,local-authority-eng:HAG,0.11855072463768113
hardwickepc.gov.uk,Hardwicke Parish Council,Hart District Council,local-authority-eng:HAT,0.1772486772486772
havant.gov.uk,Havant District Council,Hart District Council,local-authority-eng:HAT,0.11768461007591458
hanborough-pc.gov.uk,Hanborough Parish Council,Hastings Borough Council,local-authority-eng:HAS,0.1823015873015874
moultonnorthants-pc.gov.uk,Moulton Parish Council,Hastings Borough Council,local-authority-eng:HAS,0.16753056884635842
narboroughparishcouncil.gov.uk,Narborough Parish Council,Hastings Borough Council,local-authority-eng:HAS,0.1823015873015874
ugboroughparishcouncil.gov.uk,Ugborough Parish Council,Hastings Borough Council,local-authority-eng:HAS,0.1785714285714286
woughtoncommunitycouncil.gov.uk,Woughton Parish Council,Hastings Borough Council,local-authority-eng:HAS,0.15001725327812288
wroughton.gov.uk,Wroughton Parish Council,Hastings Borough Council,local-authority-eng:HAS,0.1785714285714286
limavady.gov.uk,Limavady Borough Council,Havant Borough Council,local-authority-eng:HAA,0.11489898989898994
beawarekidsni.gov.uk,Health and Safety Executive for Northern Ireland,Health and Safety Executive,government-organisation:PB207,0.1416666666666666
hscic.gov.uk,The Health and Social Care Information Centre,Health and Social Care Information Centre,government-organisation:OT538,0.19918699186991873
addingham-pc.gov.uk,Addingham Parish Council,Hearing Aid Council,government-organisation:OT724,0.1934697855750488
avening-pc.gov.uk,Avening Parish Council,Hearing Aid Council,government-organisation:OT724,0.1990805891734685
chineham.gov.uk,Chineham Parish Council,Hearing Aid Council,government-organisation:OT724,0.19067169201776835
dingley-pc.gov.uk,Dingley Parish Council,Hearing Aid Council,government-organisation:OT724,0.1990805891734685
EffinghamParishCouncil.gov.uk,Effingham Parish Council,Hearing Aid Council,government-organisation:OT724,0.1842105263157896
hardenparishcouncil.gov.uk,Harden Parish Council,Hearing Aid Council,government-organisation:OT724,0.1475993906334464
hayfield-pc.gov.uk,Hayfield Parish Council,Hearing Aid Council,government-organisation:OT724,0.18086777044914082
henfield.gov.uk,Henfield Parish Council,Hearing Aid Council,government-organisation:OT724,0.19067169201776835
herriard-pc.gov.uk,Herriard Parish Council,Hearing Aid Council,government-organisation:OT724,0.19067169201776835
heybridgeparishcouncil.gov.uk,Heybridge Parish Council,Hearing Aid Council,government-organisation:OT724,0.18132954936360512
higham-kent-pc.gov.uk,Higham Parish Council,Hearing Aid Council,government-organisation:OT724,0.1944966583124479
kingswearparishcouncil.gov.uk,Kingswear Parish Council,Hearing Aid Council,government-organisation:OT724,0.19113347093223254
langwithparishcouncil.gov.uk,Langwith Parish Council,Hearing Aid Council,government-organisation:OT724,0.19067169201776835
mardenkent-pc.gov.uk,Marden Parish Council,Hearing Aid Council,government-organisation:OT724,0.18407999164578115
metheringham-pc.gov.uk,Metheringham Parish Council,Hearing Aid Council,government-organisation:OT724,0.1934697855750488
newdigateparishcouncil.gov.uk,Newdigate Parish Council,Hearing Aid Council,government-organisation:OT724,0.165692007797271
sandridge-pc.gov.uk,Sandridge Parish Council,Hearing Aid Council,government-organisation:OT724,0.1842105263157896
stanbridgeparishcouncil.gov.uk,Stanbridge Parish Council,Hearing Aid Council,government-organisation:OT724,0.175692007797271
wheldrake-pc.gov.uk,Wheldrake Parish Council,Hearing Aid Council,government-organisation:OT724,0.19499269005847963
windleshampc.gov.uk,Windlesham Parish Council,Hearing Aid Council,government-organisation:OT724,0.1849512670565303
YaldingParishCouncil.gov.uk,Yalding Parish Council,Hearing Aid Council,government-organisation:OT724,0.14025705976170388
hmcpsi.gov.uk,Her Majesty's Crown Prosecution Service Inspectorate,Her Majesty's Magistrates Courts Service Inspectorate,government-organisation:OT997,0.19930641254170656
xhibit.gov.uk,Her Majesty's Courts Service,Her Majesty’s Prison and Probation Service,government-organisation:EA1213,0.19872644574398968
pembrokeshire.gov.uk,Pembrokeshire County Council,Hertfordshire County Council,local-authority-eng:HRT,0.1697722567287785
highways.gov.uk,The Highways Agency,Highways Agency,government-organisation:EA77,0.15906432748538024
edinburghcastle.gov.uk,Historic Scotland,Historic England,government-organisation:PB1164,0.1793929110105581
prisonsinspectoratescotland.gov.uk,HM Inspectorate of Prisons for Scotland,HM Inspectorate of Prisons,government-organisation:IM324,0.09375
homesengland.gov.uk,Homes and Communities Agency (HCA),Homes and Communities Agency,government-organisation:PB161,0.04761904761904767
hinstock-pc.gov.uk,Hinstock Parish Council,Horsham District Council,local-authority-eng:HOR,0.18236714975845414
lhc.gov.uk,Housing Coporation,Housing Corporation,government-organisation:EA835,0.04532163742690076
wells.gov.uk,Wells City Council,Hull City Council,local-authority-eng:KHL,0.09477124183006536
ripleyparishcouncil.gov.uk,Ripley Parish Council,Isle of Wight Council,local-authority-eng:IOW,0.18518518518518512
jpscotland.gov.uk,Judicial Appointments Board for Scotland,Judicial Appointments and Conduct Ombudsman,government-organisation:IM333,0.12451437451437453
gwynedd.gov.uk,Gwynedd County Council,Kent County Council,local-authority-eng:KEN,0.14025705976170388
akeleyparishcouncil.gov.uk,Akeley Parish Council,Kirklees Council,local-authority-eng:KIR,0.19384920634920633
towerhamlets.gov.uk,Tower Hamlets London Borough Council,Knowsley Metropolitan Borough Council,local-authority-eng:KWL,0.1597734097734097
actoncommunitycouncil.gov.uk,Acton Community Council,Lancashire County Council,local-authority-eng:LAN,0.1906025934401221
carmarthenshire.gov.uk,Carmarthenshire County Council,Lancashire County Council,local-authority-eng:LAN,0.17027777777777775
lalestoncommunitycouncil.gov.uk,Laleston Community Council,Lancashire County Council,local-authority-eng:LAN,0.18886446886446895
lancaster.gov.uk,Lancaster County Council,Lancashire County Council,local-authority-eng:LAN,0.09128019323671488
llanfaircommunitycouncil.gov.uk,Llanfair Community Council,Lancashire County Council,local-authority-eng:LAN,0.19680097680097686
lacockparishcouncil.gov.uk,Lacock Parish Council,Lancaster City Council,local-authority-eng:LAC,0.1980731686614039
lanivetparishcouncil.gov.uk,Lanivet Parish Council,Lancaster City Council,local-authority-eng:LAC,0.19528619528619529
kingslangley-pc.gov.uk,Kings Langley Parish Council,Learning and Skills Council,government-organisation:EA765,0.1995576886881234
dundeecity.gov.uk,Dundee City Council,Leeds City Council,local-authority-eng:LDS,0.11050194931773882
lichfield.gov.uk,Lichfield City Council,Lichfield District Council,local-authority-eng:LIF,0.15861915861915854
lindfieldparishcouncil.gov.uk,Lindfield Parish Council,Lichfield District Council,local-authority-eng:LIF,0.17719780219780223
idea.gov.uk,Local Government Association,Local Government Ombudsman,government-organisation:PB503,0.1633089133089134
bcomm-scotland.gov.uk,Local Government Boundary Commission,Local Government Ombudsman,government-organisation:PB503,0.1374643874643875
emcouncils.gov.uk,Local Government East Midlands,Local Government Ombudsman,government-organisation:PB503,0.17047397047397062
havering.gov.uk,The London Borough of Havering,London Borough of Havering,local-authority-eng:HAV,0.15083199141170167
loughton-tc.gov.uk,Loughton Town Council,Luton Borough Council,local-authority-eng:LUT,0.1878306878306879
desboroughtowncouncil.gov.uk,Desborough Town Council,Maidstone Borough Council,local-authority-eng:MAI,0.1529776021080369
downdc.gov.uk,Down District Council,Maldon District Council,local-authority-eng:MAL,0.059351276742581116
omagh.gov.uk,Omagh District Council,Maldon District Council,local-authority-eng:MAL,0.1154479578392622
caldecote.gov.uk,Caldecote Parish Council,Medical Research Council,government-organisation:PB132,0.1785714285714286
wyre.gov.uk,Wyre Council,Medway Council,local-authority-eng:MDW,0.1446608946608947
middlesbrough.gov.uk,Middlesbrough Council,Middlesbrough Borough Council,local-authority-eng:MDB,0.11576354679802969
pulboroughparishcouncil.gov.uk,Pulborough Parish Council,Middlesbrough Borough Council,local-authority-eng:MDB,0.19621734587251838
bingleytowncouncil.gov.uk,Bingley Town Council,Milton Keynes Council,local-authority-eng:MIK,0.17231559290382825
kendaltowncouncil.gov.uk,Kendal Town Council,Milton Keynes Council,local-authority-eng:MIK,0.1944966583124479
keynsham-tc.gov.uk,Keynsham Town Council,Milton Keynes Council,local-authority-eng:MIK,0.1785714285714286
nailseatowncouncil.gov.uk,Nailsea Town Council,Milton Keynes Council,local-authority-eng:MIK,0.1919234360410832
saltneytowncouncil.gov.uk,Saltney Town Council,Milton Keynes Council,local-authority-eng:MIK,0.19811507936507944
witney-tc.gov.uk,Witney Town Council,Milton Keynes Council,local-authority-eng:MIK,0.18407999164578115
holmevalleyparishcouncil.gov.uk,Holme Valley Parish Council,Mole Valley District Council,local-authority-eng:MOL,0.19586304731232285
nao.gov.uk,National Audit Office,National Measurement Office,government-organisation:EA33,0.17437111296760432
newforestnpa.gov.uk,New Forest National Park Agency,New Forest National Park Authority,government-organisation:OT222,0.11163820366856425
NewcastleEmlynTownCouncil.gov.uk,Newcastle Emlyn Town Council,Newcastle City Council,local-authority-eng:NET,0.19220779220779227
newcastle.gov.uk,Newcastle upon Tyne City Council,Newcastle City Council,local-authority-eng:NET,0.17234848484848486
northdevon.gov.uk,North Devon Council,North Devon District Council,local-authority-eng:NDE,0.15977443609022557
northclainesparishcouncil.gov.uk,North Claines Parish Council,North Lincolnshire Council,local-authority-eng:NLN,0.1921882465360727
northsomerset.gov.uk,North Somerset Council,North Somerset  Council,local-authority-eng:NSM,0.01449275362318847
soham-tc.gov.uk,Soham Town Council,North Somerset  Council,local-authority-eng:NSM,0.1905696457326893
horndeanpc-hants.gov.uk,Horndean Parish Council,North Tyneside Council,local-authority-eng:NTY,0.19788464353681756
midhurst-tc.gov.uk,Midhurst Town Council,North Tyneside Council,local-authority-eng:NTY,0.1915584415584417
newton-cambridge-pc.gov.uk,Newton Parish Council,North Tyneside Council,local-authority-eng:NTY,0.1730399230399231
normandyparishcouncil.gov.uk,Normandy Parish Council,North Tyneside Council,local-authority-eng:NTY,0.18862538427755815
cyngortrefrhuthun.gov.uk,Ruthin Town Council,North Tyneside Council,local-authority-eng:NTY,0.17947274603621366
tring.gov.uk,Tring Town Council,North Tyneside Council,local-authority-eng:NTY,0.19044612794612803
northyorkshire-pcc.gov.uk,North Yorkshire Police Authority,North Yorkshire County Council,local-authority-eng:NYK,0.18847222222222226
ardsandnorthdown.gov.uk,North Down Borough Council,Northampton Borough Council,local-authority-eng:NOR,0.1675543994384574
northamtowncouncil.gov.uk,Northam Town Council,Northampton Borough Council,local-authority-eng:NOR,0.18560753736192337
northingtonparishcouncil.gov.uk,Northington Parish Council,Northamptonshire County Council,local-authority-eng:NTH,0.19118762062310457
coronersni.gov.uk,Northern Ireland Courts and Tribunals Service,Northern Ireland Court Service,government-organisation:EA725,0.12276422764227646
ehsni.gov.uk,Northern Ireland Environment Agency,Northern Ireland Executive,government-organisation:DA1021,0.17206959706959712
assembly-ni.gov.uk,Northern Ireland Assembly,Northern Ireland Ombudsman,government-organisation:OT828,0.14918192918192918
colwichparishcouncil.gov.uk,Colwich Parish Council,Norwich City Council,local-authority-eng:NOW,0.1551693404634582
nantwichtowncouncil.gov.uk,Nantwich Town Council,Norwich City Council,local-authority-eng:NOW,0.1876984126984128
monmouthshire.gov.uk,Monmouthshire County Council,Nottinghamshire County Council,local-authority-eng:NTT,0.15126984126984133
lambeth.gov.uk,Lambeth London Borough Council,Nuneaton and Bedworth Borough Council,local-authority-eng:NUN,0.16801346801346806
ofwat.gov.uk,Office of Water Services,Office for Fair Access,government-organisation:PB134,0.1952380952380952
opg.gov.uk,The Office of HM Paymaster General,Office of HM Paymaster General,government-organisation:OT618,0.1849860613301474
nicscommissioners.gov.uk,Office of the Civil Service Commissioners,Office of Surveillance Commissioners,government-organisation:PB457,0.1698834183621203
advocategeneral.gov.uk,Office of the Advocate General,Office of the Advocate General for Scotland,government-organisation:D20,0.09375
childrenscommissioner.gov.uk,The Office of the Children's Commissioner,Office of the Children's Commissioner,government-organisation:PB413,0.18408220132358055
publicguardian-scotland.gov.uk,Office of the Public Guardian in Scotland,Office of the Public Guardian,government-organisation:EA72,0.11764705882352944
arundeltowncouncil.gov.uk,Arundel Town Council,Orkney Islands Council,local-authority-sct:ORK,0.18458110516934045
kenwynparishcouncil.gov.uk,Kenwyn Parish Council,Orkney Islands Council,local-authority-sct:ORK,0.1822991822991823
stondon-pc.gov.uk,Stondon Parish Council,Orkney Islands Council,local-authority-sct:ORK,0.18602693602693599
cowfold-pc.gov.uk,Cowfold Parish Council,Oxford City Council,local-authority-eng:OXO,0.19562400318979267
herefordcitycouncil.gov.uk,Hereford City Council,Oxford City Council,local-authority-eng:OXO,0.11818762592756415
winsford.gov.uk,Winsford Town Council,Oxford City Council,local-authority-eng:OXO,0.18407999164578115
polperrocommunitycouncil.gov.uk,Polperro Community Council,Oxfordshire County Council,local-authority-eng:OXF,0.1996336996336997
